ID,Last Name,First Name ,RIF?,Legacy,Group #,SF,LC,PS,I,PIG 1,PIG 2,Total,Notes (Rifs # and interests)
,Ferguson,Sarah,,"DDD, GGGgran was founder of DG, ADP",4,,,0,,,0,0,
,Fernandez,Sarah,,"DDD, AOP",5,,,0,,,0,0,
,Ferrell,Sarah,,DDD,6,,,0,,,0,0,
,Ferris,Sara ,,DDD,7,,,,,,,0,
,Fertic,Sara,,DDD,8,,,0,,,0,0,
,Fieber,Samantha,,AXO(2),9,,,0,,,0,0,
,Field,Sally,,AXO,10,,,0,,,0,0,
,Field,Tyler,,"Aphi, KAT, XO",11,,,0,,,0,0,
,Finley,Tina,,Aphi,12,,,0,,,0,0,
,Fisher,Tess,,AOP,1,,,0,,,0,0,
,Fisse,Taylor,,AOP,2,,,0,,,0,0,
,Flach,Taylor,,AGD,3,,,,,,,0,
,Flanders,Taylor,,"ADP(2), AOP",4,,,,,,,0,
,Flanigan,Tate,,ADP,5,,,0,,,0,0,
,Flautt,Zarina,,ADP,6,,,0,,,0,0,
,Fletcher,Wendy E.,,ADP,7,,,0,,,0,0,
,Flitton,Victoria,,ADP,8,,,0,,,0,0,
,Flohr,Rivers,,"KD, ADP",9,,,1,,,0,1,
,Flowers,Amelia,Yes,,10,,1,3,2,,0,6,
,Floyd,Caroline,Yes,,11,,2,0,2,,1,5,
,Floyd,Reece,,KD,12,,,1,,,0,1,
,Flynn,Haleigh,Yes,,1,,0,1,2,,1,4,
,Flynn,Stacy,,"DG, ZTA",2,,,,,,,0,
,Foreman,MeriClaire,,XO,3,,,1,,,0,1,
,Fortenberry,Carson,Yes,,4,,1,1,2,,1,5,
,Fossier,Schrader,,DDD(3),5,,,0,,,0,0,
,Foster,Amelia,Yes,,6,,,2,2,,2,6,
,Foster,Molly,,"KKG(3), KAT",7,,,1,,,0,1,
,Foster,Rawlins,,KD,8,,,1,,,0,1,
,Fowler,Corley,Yes,,9,,1,1,2,,0,4,
,Fowler,Ruth Parker,,AST,10,,,0,,,0,0,
,Franco,Carson,Yes,,11,,,2,2,,1,5,
,Franke,Madeline G.,,,12,,,1,,,0,1,
,Frantz,Brenna,Yes,,1,0,1,2,1,,1,5,
,Frase,Maddie,,,2,,,1,,,1,2,
,Freeman,Sydnie,,KAT,3,,,,,,,0,
,French,Cassie,Yes,,4,,1,2,2,,0,5,
,French,Lake,,,5,,,1,,,1,2,
,French,Morgan,,OM,6,,,1,,,0,1,
,Fuentes,Jordan,Yes,,7,,,1,2,,0,3,
,Fuller,Julia,Yes,,8,,1,1,1,,0,3,
,Fyfe,Amelia,Yes,,9,,1,2,1,,2,6,
,Gaik,Amber,Yes,,10,,1,1,2,,2,6,
,Gaillet,Abbie,,,11,,,0,,,0,0,
,Gaines,Amber,Yes,,12,,1,3,2,,0,6,
,Gallagher,Avery A.,Yes,,1,,1,1,2,,1,5,
,Galyean,Simmy,,DG,2,,,0,,,0,0,
,Garcia,Angelique,Yes,,3,,1,2,1,,2,6,
,Gardner,Brooke,Yes,,4,,1,1,2,,1,5,
,Garland,Fances Kay,Yes,,5,,1,1,2,,0,4,
,Garner,Emily ,Yes,,6,,1,1,2,,0,4,
,Garrison,Abby,Yes,,7,2,2,2,2,,1,9,
,Garvey,Abby,Yes,,8,2,2,2,2,,1,9,
,Gash,Abby,Yes,,9,2,2,2,2,,0,8,
,Gast,Alden,Yes,,10,,1,2,2,,2,7,
,Gateley,Alanah,Yes,,11,2,1,1,2,,1,7,
,Gatlin,Ainsley,Yes,,12,,2,2,2,,1,7,
,Gatwood,Alexa,Yes,,1,,1,3,2,,1,7,
,Gayle,Alexandra,Yes,,2,,1,3,2,,1,7,
,Gaylor,Alexandra,Yes,,3,,1,3,2,,1,7,
,Gearhart,Amy,Yes,,4,,1,2,2,,1,6,
,Geduldig,Ana,Yes,,5,,1,2,2,,1,6,
,Geeslin,Amy,Yes,,6,,1,2,2,,1,6,
,Gegg,Amy,Yes,,7,,1,2,2,,1,6,
,Geiss,Amelia Skye,Yes,,8,,1,2,2,,1,6,
,Geist,Anna,Yes,,9,,1,2,1,,2,6,
,Gentges,Anna,Yes,,10,,1,1,2,,2,6,
,Gershon,Anna,Yes,,11,,1,2,2,,1,6,
,Gibson,Anna,Yes,,12,,1,1,2,,2,6,
,Gibson,Anna,Yes,,1,,2,1,1,,2,6,
,Gilbert,Anna,Yes,,2,,1,1,2,,2,6,
,Gilder,Anna,Yes,,3,,2,1,2,,1,6,
,Gimotty,Anna,Yes,,4,2,,2,2,,0,6,
,Giordano,Anna,Yes,,5,,1,2,2,,1,6,
,Giovingo,Avery,Yes,,6,,1,2,1,,1,5,
,Gist,Bailee,Yes,,7,,1,1,1,,2,5,
,Glass,Bailey,Yes,,8,,,2,2,,1,5,
,Glaze,Bailey,Yes,,9,,2,1,,,2,5,
,Glaze,Bailey,Yes,,10,,,1,2,,2,5,
,Gleason,Brenley,Yes,,11,,1,1,2,,1,5,
,Goad,Breland,Yes,,12,,1,2,1,,1,5,
,Godfrey,Bevin,Yes,,1,,1,2,1,,1,5,
,Goerner,Blaine,Yes,,2,,1,1,2,,1,5,
,Goggans,Brooke,Yes,,3,,,1,2,,2,5,
,Goldhammer,Brooke,Yes,,4,,1,2,2,,0,5,
,Golightly,Caroline,Yes,,5,,1,1,2,,1,5,
,Goodman,Caroline,Yes,,6,,,2,2,,1,5,
,Goodman,Caroline,Yes,,7,,1,1,2,,1,5,
,Goodson,Caroline,Yes,,8,2,1,0,1,,1,5,
,Goodson,Caroline,Yes,,9,,1,1,2,,1,5,
,Gordon,Cat,Yes,,10,,1,2,1,,1,5,
,Gorey,Cate,Yes,,11,,0,2,2,,1,5,
,Gossrau,Cassidy,Yes,,12,,1,1,2,,1,5,
,Goudeau,Cassidy,Yes,,1,,1,1,2,,1,5,
,Gough,Casey,Yes,,2,,1,1,2,,1,5,
,Graeber,Cori,Yes,,3,,1,1,2,,0,4,
,Graham,Connor,Yes,,4,,1,2,1,,0,4,
,Granger,Colleen,Yes,,5,,,0,2,,2,4,
,Grant,Colleen,Yes,,6,,,1,2,,1,4,
,Grantham,Claire,Yes,,7,,,1,1,,2,4,
,Grass,Christina,Yes,,8,,,1,2,,1,4,
,Graves,Christiane,Yes,,9,,,1,2,,1,4,
,Gray,Christian,Yes,,10,,1,1,2,,0,4,
,Gray,Ellie,Yes,,11,,1,1,2,,0,4,
,Grayson,Ellie,Yes,,12,,1,0,2,,1,4,
,Green,Ellie,Yes,,1,,1,1,2,,0,4,
,Green,Ellie,Yes,,2,,1,2,1,,0,4,
,Green,Emily ,Yes,,3,,1,1,2,,,4,
,Green,Emily,Yes,,4,,1,1,2,,0,4,
,Greenberger,Emily,Yes,,5,,,2,1,,1,4,
,Greenblatt,Emily,Yes,,6,,1,1,2,,0,4,
,Greenfield,Emily,Yes,,7,,,2,1,,1,4,
,Greenly,Emily,Yes,,8,,,1,1,,2,4,
,Gregoire,Emily,Yes,,9,,1,1,2,,0,4,
,Grenfell,Emily Catherine,Yes,,10,,1,1,2,,0,4,
,Grennan,Emily ,Yes,,11,,1,1,2,,0,4,
,Gribble,Emily ,Yes,,12,,,2,,,2,4,
,Griffin,Gabby,Yes,,1,,1,1,1,,1,4,
,Griffin,Grace,Yes,,2,,1,1,2,,0,4,
,Griffin,Grace,Yes,,3,,1,1,2,,0,4,
,Griffith,Ginnie,Yes,,4,,1,2,1,,0,4,
,Griffith,Gislina,Yes,,5,,1,1,2,,0,4,
,Griffith,Ginger,Yes,,6,,1,1,1,,1,4,
,Grisanti,Georgia,Yes,,7,,,2,,,2,4,
,Grisham,Hailey,Yes,,8,,1,1,2,,0,4,
,Grissett,Greer,Yes,,9,,1,1,2,,0,4,
,Grizzel,Greta,Yes,,10,,1,1,2,,0,4,
,Grooms,Hannah,Yes,,11,,1,1,2,,0,4,
,Guenther,Hannah,Yes,,12,,1,1,2,,0,4,
,Guess,Hannah,Yes,,1,,1,1,1,,1,4,
,Gunderson,Hayden,Yes,,2,,,1,2,,0,3,
,Gurney,Hayden,Yes,,3,,1,1,1,,0,3,
,Gusella,Hannah,Yes,,4,,,1,2,,0,3,
,Guyton,Hannah,Yes,,5,,1,1,,,1,3,
,Guyton,Hannah,Yes,,6,,1,1,1,,0,3,
,Guzman,Jansen,Yes,,7,,1,1,1,,0,3,
,Haadsma,Jamie,Yes,,8,,,0,2,,1,3,
,Hack,Isabelle,Yes,,9,,,1,,,2,3,
,Hackney,Isabelle,Yes,,10,,,1,2,,0,3,
,Hagan,Isabella,Yes,,11,,1,0,2,,0,3,
,Haley,Jessica,Yes,,12,,,1,,,2,3,
,Halingten-Verville,Jenny,Yes,,1,,,1,,,2,3,
,Hall,Jennifer,Yes,,2,,,1,,,2,3,
,Halliday,Jordan,Yes,,3,,1,1,1,,0,3,
,Hammons,Juli,Yes,,4,,1,1,1,,0,3,
,Hampton,Jules,Yes,,5,,1,1,1,,0,3,
,Hancock,Jules,Yes,,6,,1,1,1,,0,3,
,Hanneke,Jules,Yes,,7,,1,1,1,,0,3,
,Harbourne,JudiBeth,Yes,,8,,,1,2,,0,3,
,Hargrave,Joy Morgan,Yes,,9,,,2,,,1,3,
,Harper,Kathryn,Yes,,10,,1,1,1,,0,3,
,Harper,Kathryn,Yes,,11,,2,1,,,0,3,
,Harrell,Katee,Yes ,,12,,1,1,1,,0,3,
,Harris,Kate,Yes ,,1,,1,0,2,,0,3,
,Harris,Kate,Yes ,,2,,,1,1,,1,3,
,Harris,Kate,Yes ,,3,,,1,,,2,3,
,Harris,Kate,Yes ,,4,,1,1,1,,0,3,
,Harris,Katie,,,5,,1,0,2,,0,3,
,Harrison,Kayla,,,6,,,0,1,,2,3,
,Harrison,Kayla,,,7,,,2,,,1,3,
,Hartman,Kayla,,,8,,1,1,1,,0,3,
,Hartmann,Katie Ann,,,9,,,1,1,,1,3,
,Hartnett,Kelsey,,,10,,,1,,,1,2,
,Hasik,Kelsey,,,11,0,,0,2,,0,2,
,Hastings,Kelsea,,,12,,,0,,,2,2,
,Hathhorn,Kelly,,,1,0,,1,,,1,2,
,Hatten,Laura,,,2,,,1,,,1,2,
,Haun,Laura,,,3,,1,1,,,0,2,
,Haupt,Larsen,,,4,,,1,,,1,2,
,Hawkins,Lanie,,,5,,1,0,1,,0,2,
,Haydel,Lexi,,,6,,,0,1,,1,2,
,Hayden,Lexi,,,7,,,1,,,1,2,
,Hayden,Lexi,,,8,,,1,,,1,2,
,Haynam,Leila,,,9,,1,1,,,0,2,
,Haynes,Leigh,,,10,,,1,,,1,2,
,Hays,Lauren,,,11,,1,0,1,,0,2,
,Hayslip,Lauren,,,12,,,1,1,,0,2,
,Hayward,Lauren,,,1,,,1,,,1,2,
,Healy,Macey,,,2,,,1,,,1,2,
,Heasley,Luci,,,3,,,1,,,1,2,
,Heberer,Lucero,,,4,,,,2,,,2,
,Hebrank,Lolly,,,5,,,1,,,1,2,
,Hecht,Logan,,,6,,,1,,,1,2,
,Hecht,Loden,,,7,,,1,,,1,2,
,Heckendorn,Lizzie,,,8,,,1,,,1,2,
,Hector,Mackenzie,,,9,,,1,,,1,2,
,Hefflefinger,Madalyn,,,10,,,0,1,,1,2,
,Heil,Macy,,,11,,,1,,,1,2,
,Heinecke,Maddie,,,12,,1,1,,,0,2,
,Heineman,Maddie,,,1,,,,2,,,2,
,Heitmeyer,Maddie,,,2,,,0,,,2,2,
,Hendel,Madison,,,3,,,1,1,,0,2,
,Hendrix,Madison,,,4,,1,0,1,,0,2,
,Hendry,Madison,,,5,,,2,,,0,2,
,Henley,Madison,,,6,,1,1,,,,2,
,Herbert,Madison,,,7,,,1,,,1,2,
,Herbert,Madison,,,8,,,2,,,0,2,
,Herman,Mallory,,ZTA,9,,,0,,,1,1,
,Hermann,Mallary,,"ZTA, DDD",10,,,1,,,0,1,
,Hernandez,Mallory,,"ZTA, Gphi, AXD",11,,,1,,,0,1,
,Herndon,Malia,,"ZTA, KKG",12,,,1,,,0,1,
,Herring,Maggie,,"Yes, XO(2)(in house)",1,,,0,,,1,1,
,Herrington,Mary,,"Yes, MS BETA(in house)",2,,,1,,,0,1,
,Hewitt,Mary,,"Yes, MS BETA(in house)",3,,,1,,,0,1,
,Hickey,Meagan,,Yes,4,,,1,,,0,1,
,Hickman,Meagan,,Yes,5,,,1,,,0,1,
,Higginbotham,Meagan,,Yes,6,,,1,,,0,1,
,Higginbotham,Meagan,,Yes,7,,,0,,,1,1,
,Hightower,McKinley,,Yes,8,,,1,,,0,1,
,Hilbun,McKinley,,Yes,9,,,1,,,0,1,
,Hill,Mckenzie,,Yes,10,,,1,,,0,1,
,Hill,Mckenzi,,Yes,11,,,0,,,1,1,
,Hill,McKenna,,Yes,12,,,1,,,0,1,
,Hill,Mckenna,,Yes,1,,,1,,,0,1,
,Hill,Millie,,XO(2),2,,,1,,,0,1,
,Hils,Meredith,,XO,3,,,1,,,0,1,
,Hines,Meredith,,XO,4,,,1,,,0,1,
,Hines,Meghan,,XO,5,,,1,,,0,1,
,Hiniker,Megan,,XO,6,,,0,,,1,1,
,Hirsch,Nicole,,OM,7,,,0,,,1,1,
,Hirschfield,Nicole,,"OM, DDD, DG",8,,,1,,,0,1,
,Hirschman,Nicole,,"OM, KD",9,,,1,,,0,1,
,Hisle,Nicole,,"OM, SSS, DZ",10,,,0,,,1,1,
,Hitchens,Nicole,,OM(2),11,,,1,,,0,1,
,Hoang,Neale,,OM(2),12,,,1,,,0,1,
,Hobson,Natalie,,OM(in house),1,,,1,,,0,1,
,Hodnett,Olivia,,KKG,2,,,1,,,0,1,
,Hollensteiner,Noelle,,KKG,3,,,1,,,0,1,
,Holloway,Nolte,,KKG,4,,,1,,,0,1,
,Holmes,Olivia,,KKG ,5,,,1,,,0,1,
,Holmes,Rachel,,"KKG, DDD",6,,,0,,,1,1,
,Holthaus,Rachel,,"KKG, DDD",7,,,0,,,1,1,
,Holton,Payton,,"KD, XO,  AXO(3)",8,,,1,,,0,1,
,Hooper,Payton,,"KD, XO(2)",9,,,1,,,0,1,
,Hopson,Riley,,"KD, AOP",10,,,0,,,1,1,
,Hord,Reagan,,KD,11,,,0,,,1,1,
,Horringan,Rachel J.,,KD,12,,,,,,,0,
,Houin,Rachel,,"KAT, ZTA",1,,,,,,,0,
,House,Taran,,"KAT, DDD",2,,,,,,,0,
,Howard,Sydney,,KAT,3,,,0,,,0,0,
,Howard,Sydney,,Gphi,4,,,0,,,0,0,
,Howitt,Summer,,"DZ,  ADP",5,,,0,,,0,0,
,Hua,Sophie,,DG(2),6,,,0,,,0,0,
,Hubacek,Sophie,,DG(2),7,,,0,,,0,0,
,Huddleston,Shelby,,DG,8,,,0,,,0,0,
,Hudgins,Shannon,,DG,9,,,0,,,0,0,
,Hudson,Sarah Hamilton,,"DDD, XO",10,,,0,,,0,0,
,Hudson,Sarah Grace,,"DDD, ZTA, XO",11,,,0,,,0,0,
,Hudson,Sarah Charles,,DDD. KAT,12,,,0,,,0,0,
,Hudson,Sarah,,"DDD, KAT",1,,,0,,,0,0,
,Huff,Sarah,,"DDD, AOP",2,,,0,,,0,0,
,Huffman,Sarah,,DDD,3,,,0,,,0,0,
,Hughes,Sara Beth,,DDD,4,,,0,,,0,0,
,Hughes,Sara,,DDD,5,,,0,,,0,0,
,Hughes,Samantha,,"AXO(2), Gphi",6,,,0,,,0,0,
,Hughes,Sally,,AXO,7,,,0,,,0,0,
,Hull,Trsiten,,"Aphi, KKG",8,,,0,,,0,0,
,Hull,Tiffany,,Aphi,9,,,0,,,0,0,
,Hundertmark,Tegan,,"AOP, ADP",10,,,0,,,0,0,
,Hunt,Taylor,,AOP,11,,,0,,,0,0,
,Hutchins,Taylor,,AGD,12,,,0,,,0,0,
,Hyde,Taylor,,ADP(in house),1,,,0,,,0,0,
,Illges,Tate,,"ADP, DDD(2), KKG",2,,,0,,,0,0,
,Inman,Yasmine,,ADP,3,,,0,,,0,0,
,Irons,Walton,,ADP,4,,,0,,,0,0,
,Ismert,Victoria,,ADP,5,,,0,,,0,0,
,Iwasaki,Riley,,"KD, DDD",6,,,1,,,0,1,
,Jackson,Ann Kelly,Yes,,7,,1,1,2,,2,6,
,Jackson,Reed,,KD,8,,,1,,,0,1,
,Jackson ,Caroline,Yes,,9,2,1,1,1,,0,5,
,Jankowski,Sophie,,DG(2),10,,,0,,,0,0,
,Janus,Hannah,Yes,,11,,1,1,2,,0,4,
,Jarrett,Meredith,,XO,12,,,0,,,1,1,
,Jefferson,Chasey,Yes,,1,,2,1,2,,0,5,
,Jenkins,Savannah,,DDD(4),2,,,0,,,0,0,
,Jessee,Ann Catherine,Yes,,3,,1,1,2,,2,6,
,Jimenez,Raquel A.,,KD,4,,,0,,,1,1,
,Johns,Paige,,KKG(in house),5,,,1,,,0,1,
,Johnson,Ann Kate,Yes,,6,,1,1,2,,2,6,
,Johnson,Ann,Yes,,7,,1,1,2,,2,6,
,Johnson,Brooklyn,Yes,,8,,,2,2,,1,5,
,Johnson,Charlotte,Yes,,9,,,3,,,2,5,
,Johnson,Charlotte,Yes,,10,,1,1,2,,1,5,
,Johnson,Colby,Yes,,11,,1,2,1,,0,4,
,Johnson,Kaleigh,Yes,,12,,,1,1,,1,3,
,Johnson,Josie,Yes,,1,,,1,1,,1,3,
,Johnson,Laiken,,,2,,,0,,,2,2,
,Johnson,Maddie,,,3,,,1,1,,0,2,
,Johnson,Madeline,,,4,,,1,,,0,1,
,Johnson,Molli,,OM,5,,,1,,,0,1,
,Johnson,Sydney V.,,KAT,6,,,,,,,0,
,Johnson,Rowan,,AXD,7,,,0,,,0,0,
,Joiner,Abbie,,,8,,,0,,,0,0,
,Jones,Anastasia,Yes,,9,,1,2,2,,1,6,
,Jones,Anastasia,Yes,,10,,0,3,2,,1,6,
,Jones,Bailey,Yes,,11,2,,1,,,2,5,
,Jones,Brooke,Yes,,12,,1,1,2,,1,5,
,Jones,Sierra,,DG,1,,,0,,,0,0,
,Jordan,Abby,Yes,,2,,2,2,2,,2,8,
,Jordan,Emily,Yes,,3,,,1,2,,1,4,
,Jordan,Ferrell,Yes,,4,,,1,2,,1,4,
,Joyce,Abby,Yes,,5,,2,3,2,,1,8,
,Jumper,Abby,Yes,,6,,1,3,2,,2,8,
,Justice,Alex,Yes,,7,,1,2,2,,2,7,
,Kaelin,Alex,Yes,,8,,2,2,2,,1,7,
,Kaim,Alex,Yes,,9,2,2,1,2,,0,7,
,Kalteis,Alexis L.,Yes,,10,,1,2,2,,2,7,
,Kampf,Alexis,Yes,,11,2,1,1,2,,1,7,
,Kane,Alexis,Yes,,12,,1,2,2,,2,7,
,Kantor,Andi,Yes,,1,,,2,2,,2,6,
,Kasnick,Andreá,Yes,,2,,1,2,2,,1,6,
,Keane,Angelica,Yes,,3,,,2,2,,2,6,
,Kearns,Anna,Yes,,4,,,3,2,,1,6,
,Keaton,Anna,Yes,,5,2,,1,2,,1,6,
,Keenan,Anna,Yes,,6,,1,2,2,,1,6,
,Kehne,Anna,Yes,,7,2,1,0,2,,1,6,
,Kehoe,Anna,Yes,,8,,1,3,2,,0,6,
,Keil,Anna,Yes,,9,,2,1,2,,1,6,
,Kelaher,Anna Grace,Yes,,10,,2,2,1,,1,6,
,Keller,Anna Claire,Yes,,11,,2,1,2,,1,6,
,Keller,Anna Claire,Yes,,12,,1,2,1,,2,6,
,Kelley,Anna Claire,Yes,,1,2,2,0,2,,0,6,
,Kelley,Anna Caitlyn,Yes,,2,,,2,2,,2,6,
,Kemp,Bailey,Yes,,3,,2,1,1,,1,5,
,Kennedy,Barker,Yes,,4,,1,1,2,,1,5,
,Kennedy,Bailie,Yes,,5,,1,2,1,,1,5,
,Kennerly,Bailey Anne,Yes,,6,2,1,0,1,,1,5,
,Kenney,Bailey A.,Yes,,7,,1,1,2,,1,5,
,Kesler,Brooks,Yes,,8,,,2,2,,1,5,
,Keyes,Bryn,Yes,,9,,1,1,2,,1,5,
,Kiefer,Brynn,Yes,,10,,1,1,1,,2,5,
,Kilburg,Burchie,Yes,,11,,,2,1,,2,5,
,Killion,Brooke,Yes,,12,2,1,0,2,,0,5,
,Kimbrough,Brooke,Yes,,1,,,1,2,,2,5,
,Kincaid,Caroline,Yes,,2,2,,1,2,,0,5,
,King,Caroline,Yes,,3,,1,1,2,,1,5,
,King,Caroline,Yes,,4,,1,1,2,,1,5,
,King,Caroline,Yes,,5,,,2,2,,1,5,
,King,Caroline,Yes,,6,,1,1,2,,1,5,
,King,Chandler,Yes,,7,,1,2,2,,0,5,
,King,Chandler,Yes,,8,2,1,1,1,,0,5,
,Kiniry,Chandler,Yes,,9,,1,1,2,,1,5,
,Kirk,Cecillia,Yes,,10,,1,1,1,,2,5,
,Kitchin,Cecelia,Yes,,11,,1,3,1,,0,5,
,Klass,Clayton,Yes,,12,,1,1,2,,0,4,
,Klein,Claudia,Yes,,1,,1,1,1,,1,4,
,Kleman,Claudia,Yes,,2,,1,1,2,,0,4,
,Kline,Clari,Yes,,3,,1,1,2,,0,4,
,Kline,Claire,Yes,,4,,1,0,2,,1,4,
,Klippenstein,Christian,Yes,,5,,1,1,2,,0,4,
,Knapp,Chris,Yes,,6,,,2,1,,1,4,
,Knight,Dorothy,Yes,,7,,1,1,1,,1,4,
,Knochel,Ellie,Yes,,8,,,1,2,,1,4,
,Knotts,Ellie,Yes,,9,,,2,,,2,4,
,Koenenn,Ellie,Yes,,10,,1,1,2,,0,4,
,Kolessar,Ellie,Yes,,11,,,2,1,,1,4,
,Komes,Emily,Yes,,12,,1,0,1,,2,4,
,Komisar,Emily,Yes,,1,,1,1,2,,0,4,
,Kostial,Emily,Yes,,2,,1,1,2,,0,4,
,Krekorian,Emily,Yes,,3,,,2,1,,1,4,
,Kriscunas,Emily,Yes,,4,,,1,1,,2,4,
,Kruse,Emily,Yes,,5,,,2,2,,0,4,
,Kuhn,Emily,Yes,,6,,,2,1,,1,4,
,Kuss,Erin,Yes,,7,,1,1,2,,0,4,
,Kyle,Erin,Yes,,8,,1,1,2,,0,4,
,LaBine,Erin,Yes,,9,,1,1,2,,0,4,
,Lackman,Gabby,Yes,,10,,,2,2,,0,4,
,Lacoste,Gerogia,Yes,,11,,,2,,,2,4,
,Ladisic,Gina,Yes,,12,,,1,2,,1,4,
,Ladner,Genevieve,Yes,,1,,,2,,,2,4,
,Ladner,Genevieve,Yes,,2,,,2,2,,0,4,
,Ladouceur,Gentry,Yes,,3,,1,1,2,,0,4,
,Lake,Genevieve,Yes,,4,,,1,1,,2,4,
,Lamb,Hannah,Yes,,5,,1,1,1,,1,4,
,Lancaster,Hannah,Yes,,6,,1,1,2,,0,4,
,Land,Hannah,Yes,,7,,,1,1,,2,4,
,Lander,Hannah,Yes,,8,,1,1,1,,1,4,
,Landing-Fultz,Hannah,Yes,,9,,,2,,,2,4,
,Landsittel,Hannah,Yes,,10,,,2,,,2,4,
,Lanford,Haven,Yes,,11,,1,1,1,,0,3,
,Langley,Harper,Yes,,12,,,1,2,,0,3,
,Lanter,Hannah,Yes,,1,,,1,,,2,3,
,LaSalle,Hope,Yes,,2,2,,0,1,,0,3,
,Lasso,Holli,Yes,,3,,1,0,1,,1,3,
,Lauriello,Janie,Yes,,4,,1,1,1,,0,3,
,Lavery,Jamie,Yes,,5,,1,1,1,,0,3,
,Laws,Isabella,Yes,,6,,,1,2,,0,3,
,Lawson,Hunter,Yes,,7,,,1,2,,0,3,
,Lay,Hope,Yes,,8,,0,1,2,,0,3,
,Lazich,Jessica,Yes,,9,,,1,2,,0,3,
,Leandro,Jennifer,Yes,,10,,1,0,2,,0,3,
,Leaphart,Jenna,Yes,,11,,,1,2,,0,3,
,Leary,Kaleigh,Yes,,12,,1,1,1,,0,3,
,LeBrun,Josey Kate,Yes,,1,,0,1,2,,0,3,
,Lees,Josette,Yes,,2,,,1,,,2,3,
,Lees,Jordyn,Yes,,3,,,1,,,2,3,
,Lester,Jordyn,Yes,,4,,,1,2,,0,3,
,Lewis,Jordan B.,Yes,,5,,,1,1,,1,3,
,Lewis,Jordan,Yes,,6,,,1,2,,0,3,
,Linder,Kathryn,Yes,,7,,1,1,1,,0,3,
,Lindsay,Kathleen R.,Yes,,8,,1,1,1,,0,3,
,Lindsey,Kate,Yes ,,9,,,0,1,,2,3,
,Lindsley,Kate,Yes ,,10,,1,1,1,,0,3,
,Lineen,Kate,Yes ,,11,,1,0,2,,0,3,
,Linton,Kate,Yes ,,12,2,,0,1,,0,3,
,Little,Kassidy,Yes ,,1,,,1,1,,1,3,
,Livingston,Katie,,,2,,,1,1,,1,3,
,Lobel,Kayla,,,3,,,1,,,2,3,
,Lochner,Kayla,,,4,,,1,1,,1,3,
,Locke,Kaylei,,,5,,,1,,,2,3,
,Lockett,Kayleigh,,,6,,1,1,1,,0,3,
,Loe,Kindall,,,7,,1,0,,,1,2,
,Loeschen,Kim,,,8,,,1,,,1,2,
,Logan,Kenzie,,,9,,,1,,,1,2,
,Logan,Kiersten,,,10,,,1,,,1,2,
,Long,Laney,,,11,2,,0,,,0,2,
,Longnecker,Lauren,,,12,,,1,,,1,2,
,Longton,Lauren,,,1,,,0,,,2,2,
,Lorsbach,Lauren,,,2,,,1,,,1,2,
,Lorthorp,Leah,,,3,,,1,,,1,2,
,Lott,Leah,,,4,,,1,1,,0,2,
,Lott,Leah,,,5,,,1,,,1,2,
,Love,Leah,,,6,,,1,,,1,2,
,Lovelace,Lea,,,7,,,1,,,1,2,
,Lovett,Lauren,,,8,,,0,,,2,2,
,Lovitt,Lauren,,,9,,,2,,,0,2,
,Lowe,Lauren,,,10,,1,1,,,0,2,
,Lowell,Macie,,,11,,,1,,,1,2,
,Lowery,Lizzi,,,12,,1,0,1,,0,2,
,Lowery,Liza,,,1,,,1,,,1,2,
,Lucas,Liza,,,2,,,1,,,1,2,
,Lucht,Liz,,,3,,,1,,,1,2,
,Luke,Lindy,,,4,,,1,,,1,2,
,Lung,Lindsey,,,5,,,0,,,2,2,
,Lusco,Mackenzie,,,6,,,1,,,1,2,
,Lutz,Madeline,,,7,,,0,,,2,2,
,Lyell,Madeleine E.,,,8,,,1,1,,0,2,
,Ma,Mae,,,9,,,1,,,1,2,
,Macdonald,Mae Mae,,,10,,1,1,,,0,2,
,Maddox,Mady,,,11,,,1,1,,0,2,
,Madison,Madison,,,12,,,1,,,1,2,
,Maguire,Madison,,,1,,,1,1,,0,2,
,Maher,Madison,,,2,,1,0,1,,0,2,
,Maher,Madison,,,3,,,1,,,1,2,
,Maher,Madison,,,4,,,1,,,1,2,
,Maleic,Madison,,,5,,,1,,,1,2,
,Malherbe,Makenzie,,"ZTA, SK, XO",6,,,1,,,0,1,
,Malloy,Makenzie,,ZTA(2),7,,,0,,,1,1,
,Malloy,Makenzie,,ZTA(2) ,8,,,1,,,0,1,
,Malone,Makensie,,"ZTA(2), OM",9,,,1,,,0,1,
,Malynne,Maggie,,"Yes(2), DDD",10,,,1,,,0,1,
,Mandabach,Mary,,"Yes, MS BETA(in house)",11,,,0,,,1,1,
,Mandell,Mary,,"Yes, MS BETA(in house)",12,,,0,,,1,1,
,Mandle,Mckenna,,Yes,1,,,1,,,0,1,
,Mann,McKenna,,Yes,2,,,0,,,1,1,
,Manning,Mckain,,Yes,3,,,1,,,0,1,
,Manroe,McClellan,,Yes,4,,,0,,,1,1,
,Mansel,Maureen,,Yes,5,,,0,,,1,1,
,Mansfield,Mattie,,Yes,6,,,0,,,1,1,
,Mansfield,Mary Reid,,Yes,7,,,1,,,0,1,
,Mansour,Mary Tanner,,Yes (UnV)not on CD,8,,,0,,,1,1,
,Marable,Mary Reed,,"Yes, ADP",9,,,0,,,1,1,
,March,Mary Ousley,,"Yes, DDD",10,,,0,,,1,1,
,Marchand,Mills,,XO(2),11,,,1,,,0,1,
