ID,Last Name,First Name ,RIF?,Legacy,Group #,SF,LC,PS,I,PIG 1,PIG 2,Total,Notes (Rifs # and interests)
,Black,Allie,Yes,,12,,2,1,2,,1,6,
,Black,Mari,,"XO(2), KAT",1,,,0,,,1,1,
,Blair,Maddie,,,2,,,1,1,,0,2,
,Blanchard,Kellie,,,3,,,2,1,,0,3,
,Blitzer,Lili,,,4,,,1,,,1,2,
,Block,Meg,,OM,5,,,1,,,0,1,
,Bloxsom,Grace,Yes,,6,,1,1,1,,1,4,
,Blue,Elyse,Yes,,7,,,2,2,,0,4,
,Blueford,Madeline,,ZTA,8,,,1,,,0,1,
,Blythe,Kristin,,,9,,,1,,,1,2,
,Boeing,Olivia,,KD(in house),10,,,1,,,0,1,
,Boitnott,Madison,,,11,,,1,,,1,2,
,Boldt,Allie,Yes,,12,,1,1,2,,2,6,
,Bondurant,Hayley,Yes,,1,,1,0,2,,0,3,
,Bone,Kelly,,,2,,,1,,,2,3,
,Bonner,Kelsey,,,3,,,1,1,,1,3,
,Booth,Margo,,"XO(2), KKG",4,,,1,,,0,1,
,Borst,Darrah,Yes,,5,,1,1,2,,0,4,
,Bosarge,Samantha,,"AXO, XO",6,,,0,,,0,0,
,Bosley,Carmen,Yes,,7,,1,1,2,,1,5,
,Bost,Savannah,,"DDD, OM",8,,,0,,,0,0,
,Boswell,Maddie,,,9,,,1,,,1,2,
,Bottin,Allie,Yes,,10,,2,1,2,,1,6,
,Boudreaux,Michelle,,XO,11,,,0,,,1,1,
,Bounds,Katelyn,Yes ,,12,,1,1,1,,0,3,
,Bowes,Madison,,,1,,,1,,,1,2,
,Bowles,Allison,Yes,,2,,1,2,1,,2,6,
,Bowlus,Camille,Yes,,3,,1,1,2,,1,5,
,Boyce,Margeaux,,XO(2)(in house),4,,,1,,,0,1,
,Boyer,Allison,Yes,,5,,1,1,2,,2,6,
,Boyette,Cami,Yes,,6,,1,1,2,,1,5,
,Boyles,Margaret,,XO(3),7,,,0,,,1,1,
,Bozeman,Allie Grace,Yes,,8,,1,1,2,,2,6,
,Bracken,Carlye,Yes,,9,,1,1,2,,1,5,
,Bradley,Meg,,OM,10,,,1,,,0,1,
,Bradshaw,Avery,Yes,,11,2,,1,1,,1,5,
,Brady,Lauren,,,12,,,1,1,,0,2,
,Brady,Sarah,,"DDD, DG, XO, KKG",1,,,0,,,0,0,
,Brady,Sammy,,DDD,2,,,0,,,0,0,
,Bragg,Libby,,,3,,,0,,,2,2,
,Brakefield,Taylor,,ADP(2),4,0,,0,,,0,0,
,Brand,Jillian,Yes,,5,2,,0,,,1,3,
,Brasher,Rachel,,"KAT, XO",6,,,,,,,0,
,Brashier,Paige,,KD,7,,,1,,,0,1,
,Brennan,Swayze,,DZ,8,,,0,,,0,0,
,Brentz Shook,Carlisle F.,Yes,,9,,1,1,2,,1,5,
,Bressler,Miranda,,"XO, OM, DDD",10,,,1,,,0,1,
,Bridges,Olivia,,KKG,11,,,1,,,0,1,
,Briner,Tift,,Aphi,12,,,0,,,0,0,
,Bring,Taylor,,AGD,1,,,0,,,0,0,
,Brinson,Savannah,,"DDD, OM ",2,,,0,,,,0,
,Brittain,Shelley,,DG,3,,,0,,,0,0,
,Broadus,Melissa,,XO,4,,,1,,,0,1,
,Brock,Lauren,,,5,,,2,,,0,2,
,Brock,Lucy,,,6,,,1,,,1,2,
,Brooding,Rebecca,,KD,7,,,1,,,0,1,
,Broussard,Claire,Yes,,8,,1,0,2,,1,4,
,Broussard,Victoria,,Aphi ,9,,,0,,,0,0,
,Brown,Carley,Yes,,10,,1,1,2,,1,5,
,Brown,Katie,Yes,,11,,,1,2,,0,3,
,Brown,Sarah,,"DDD, ADP",12,,,0,,,0,0,
,Brown,Taylor,,AOP,1,,,0,,,0,0,
,Brown ,Allie,Yes,,2,,0,2,2,,2,6,
,Brownell,Elizabeth,Yes,,3,,,2,,,2,4,
,Browning,Grace,Yes,,4,,,1,2,,1,4,
,Browning,Lucy,,,5,,1,0,1,,0,2,
,Bruce,Virginia,,ADP,6,,,0,,,0,0,
,Bryan,Megan,,XO,7,,,1,,,0,1,
